,subjSummary,subj,rel,obj,objSummary,ref
0,SSRIs,Selective serotonin reuptake inhibitors (SSRIs),first-line treatment,Major Depressive Disorder during the acute phase,MDD acute phase,"pharmacotherapy, especially selective serotonin reuptake inhibitors antidepressant, remain the most frequent option for treating depression during the acute phase"
1,ECT,Electroconvulsive therapy (ECT),Highly effective,somatic therapy for depression in some specific situation,Depression specific situations,electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation
2,MDD treatment,Treatment during the acute phase of a major depressive episode,Goal,help the patient reach a remission state and eventually return to their baseline level of functioning,Remission and returning to baseline,treatment during the acute phase of a major depressive episode aim to help the patient reach a remission state and eventually return to their baseline level of function
3,Depression,Depression,Associated with,high rate of suicidal behavior and mortality,suicidal behavior and mortality,depression be also associate with high rate of suicidal behavior and mortality
4,MAOIs,Monoamine oxidase inhibitors (MAOIs),Less commonly used,over time due to numerous side effects,Numerous side effects,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects"
5,MAOIs,Monoamine oxidase inhibitors (MAOIs),Specific efficacy in treating,depression with atypical features,Atypical depression,maois have demonstrate specific efficacy in treating depression with atypical features
6,MAOIs,Monoamine oxidase inhibitors (MAOIs),second-line treatment,patients who have not responded to several other pharmacotherapies,Non-responders to other therapies,they be now almost exclusively prescribed for patients who have not responded to several other pharmacotherapies
0,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Definition,"the first class of antidepressants, defined by their mechanism of irreversible inhibition of the enzyme monoamine oxidase",Antidepressant class,iproniazid be the first drug define as an antidepressant; it be later classify as a monoamine oxidase inhibitor (maoi)
1,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Side effects,hepatotoxicity and hypertensive crisis that can lead to lethal intracranial hemorrhage,Adverse reactions,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."
2,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,due to their complex side effects and dietary restrictions,Usage decline,"consequently, maois have become less commonly use over time"
3,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Specific efficacy in treating,depression with atypical features,Atypical depression,"maois have demonstrate specific efficacy in treat depression with atypical feature, such as reactive mood, reverse neuro-vegetative symptom, and sensitivity to rejection"
4,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,for patients with major depression,Major depression,most guideline currently recommend ssris as the first-line treatment for patient with major depression
5,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),Side effects,"sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache",Adverse reactions,"they have elicit different tolerance rate and side effect- mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"
6,Ketamine,Ketamine,Side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms",Adverse reactions,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptom"
7,Ketamine,Ketamine,Treats,resistant unipolar and possibly bipolar depression and acute suicidal ideation,Depression & ideation,"in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
8,Ketamine,Ketamine,Highly effective,for treatment-resistant depression,Treatment-resistant depression,"in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
0,SSRIs,Selective serotonin reuptake inhibitors (SSRIs),first-line treatment,major depression,Major Depression,most guideline currently recommend ssris as the first-line treatment for patient with major depression.
1,MAOIs,Monoamine oxidase inhibitors (MAOIs),specific efficacy in treating,depression with atypical features,Atypical Depression,maois have demonstrate specific efficacy in treat depression with atypical feature.
2,MAOIs,Monoamine oxidase inhibitors (MAOIs),less commonly used,over time due to side effects,Over Time,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects."
3,TCAs,Tricyclic antidepressants (TCAs),more effective,than SSRIs in treating hospitalized patients with severe major depressive disorder,Hospitalized Patients,some tcas can be more effective than ssris when use to treat hospitalized patient.
4,Bupropion,Bupropion,side effects,more likely than some SSRIs to lead to minimal weight gain or even weight loss,Weight Change,"bupropion have a well tolerability profile, with minimal weight gain (or even lead to weight loss)."
5,Ketamine,Ketamine,treats,treatment-resistant depression,Treatment-Resistant Depression,"intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression."
6,Esketamine,Esketamine (S-ketamine),approved for,treatment-resistant depression by the FDA,FDA Approval,it be approve by the united state food and drug administration in march 2019 for treatment-resistant depression.
7,Ketamine,Ketamine,side effects,"neurotoxicity, cognitive dysfunction, and potential for drug abuse",Side Effects,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction."
8,CBT,Cognitive-behavioral therapy (CBT),widely used,for treating major depressive disorder,MDD Treatment,cbt be one of the most well-document and validate psychotherapeutic method available.
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,major depression,Major Depression,most guidelines currently recommend SSRIs as the first-line treatment for patients with major depression
1,CBT,Cognitive Behavioral Therapy (CBT),first-line treatment,mild to moderate major depressive disorder,Mild to Moderate MDD,"CBT is considered the initial treatment method for mild to moderate MDD, based on significant clinical evidence"
2,IPT,Interpersonal Therapy (IPT),first-line treatment,mild to moderate major depressive episode in adults,Mild to Moderate MDD in Adults,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episode in adults"
3,Exercise,Physical Exercise,recommended,adjunct to other anti-depressive treatment,Adjunct Treatment,exercise is considered an adjunct to other anti-depressive treatment
4,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),less commonly used,due to their irreversible inhibition of monoamine oxidase and numerous side effects,Due to Side Effects,"due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects that can lead to lethal intracranial hemorrhage, making them less commonly used over time"
5,Bupropion,Bupropion,side effects,"minimal weight gain or even weight loss, more likely to improve symptoms of fatigue and sleepiness than some SSRIs",Weight and Fatigue,bupropion is more likely than some SSRIs to lead to minimal weight gain or even weight loss and is more likely to improve symptoms of fatigue and sleepiness
6,Ketamine,Ketamine,associated with,"short antidepressant effect, possible neurotoxicity, and drug dependence",Side Effects,ketamine has a short antidepressant effect and is associated with possible neurotoxicity and drug dependence
7,Esketamine,Esketamine,approved for,treatment-resistant depression,Treatment-Resistant Depression,Esketamine was approved by the United States Food and Drug Administration in March 2019 for treatment-resistant depression
8,Therapeutic Monitoring,Therapeutic Monitoring of Ketamine Treatment,lacks guidelines,for depression,Depression,the current lack of guidelines about the therapeutic monitoring of ketamine treatment for depression further complicates the expanded use of this treatment
9,CBASP,Cognitive Behavioral Analysis System of Psychotherapy (CBASP),recommended for,chronic depression,Chronic Depression,"CBASP is recommended for treating chronic depression, utilizing specific approaches suited to each patient's preference"
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,Major Depression,Major Depression,most guideline currently recommend SSRIs as the first-line treatment for patient with major depression.
1,ECT,Electroconvulsive therapy (ECT),Highly effective,All Depression,All Depression,"ECT be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support."
2,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,Major Depression,Major Depression,MAOIs have become less commonly used over time due to their side effects.
3,Bupropion,Bupropion,Side effects,Minimal weight gain or even weight loss,Weight Change,"bupropion have a well tolerability profile than SSRIs, with minimal weight gain (or even lead to weight loss)."
4,Ketamine,Ketamine,Treats,Treatment-resistant Major Depression,Treatment-resistant Depression,"ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
5,Psychotherapy,Psychotherapy,Treats,Mild to moderate Major Depression,Mild to moderate Depression,depression-focus psychotherapy be typically consider the initial treatment method for mild to moderate MDD.
6,CBT,Cognitive-Behavioral Therapy (CBT),first-line treatment,Major Depression,Major Depression,CBT be on of the most well-document and validate psychotherapeutic method available.
7,Exercise,Physical exercise,Associated with,Improvement in quality of life for depression patients,Quality of Life Improvement,exercise also promote improvement in one’s quality of life in general.
8,rTMS,Repetitive Transcranial Magnetic Stimulation (rTMS),More effective,Depression with mild side effects,Mild Side Effects,"treatment combine rtms and antidepressant be significantly more effective than placebo condition, with mild side effect and good acceptability."
9,Vortioxetine,Vortioxetine,Benefits,Depression-related cognitive impairment,Cognitive Impairment,"vortioxetine, have particular benefit in depression-relate cognitive impairment."
10,MBCT,Mindfulness-Based Cognitive Therapy (MBCT),Benefits,High risk of depressive relapse,Preventing Relapse,study have show that eight week of MBCT treatment during remission reduce relapse.
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,major depression,major depression,most guideline currently recommend SSRIs as the first-line treatment for patients with major depression
1,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),less commonly used,"due to irreversible inhibition of monoamine oxidase, numerous side effects such as hepatotoxicity and hypertensive crisis",side effects,"due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage"
2,TCAs,Tricyclic Antidepressants (TCAs),Comparable to,SSRIs and MAOIs in treating major depression,other antidepressants,"TCAs, such as amitriptyline, nortriptyline, protriptyline, imipramine, desipramine, doxepin, and trimipramine are about as effective as other classes of antidepressants - including SSRIs, SNRIs, and MAOIs - in treating major depression"
3,ECT,Electroconvulsive Therapy (ECT),most effective,somatic therapy for resistant forms of depression in specific situations,resistant depression,Electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations
4,Physical exercise,Physical exercise,associated with,improvements in quality of life and adjunct to other antidepressant treatment for depression,improvements in quality of life,"exercise also promotes improvement in one's quality of life in general. However, exercise is considered an adjunct to other anti-depressive treatment"
5,Ketamine,Ketamine,highly effective,in intravenous sub-anesthetic dose for resistant unipolar and possibly bipolar depression and acute suicidal ideation,resistant depression and suicidal ideation,"In intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and possibly, bipolar) depression and acute suicidal ideation"
6,CBT,Cognitive-Behavioral Therapy (CBT),first-line treatment,mild to moderate major depressive disorder,mild to moderate MDD,CBT is considered one of the most well-documented and validated psychotherapeutic methods available and is recommended as a first-line treatment for mild to moderate major depressive disorder
7,IPT,Interpersonal Therapy (IPT),first-line treatment,mild to moderate major depressive episodes in adults,mild to moderate major depressive episodes,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episodes in adults and is also a well-established intervention for adolescents with depression"
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,Major Depression,Major Depression,most guideline currently recommend SSRIs as the first-line treatment for patients with major depression.
1,Physical activity,Regular physical activity,Associated with,alleviation of depressive symptoms and prevention of relapse,symptom relief,most guidelines for treating depression recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapse.
2,ECT,Electroconvulsive therapy (ECT),Highly effective,major unipolar depression,Unipolar Depression,"ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
3,Ketamine,Ketamine,Results,rapid effect on resistant depression and acute suicidal ideation,rapid effects,Intravenous sub-anesthetic dose of ketamine have very quick effects on resistant unipolar and possibly bipolar depression and acute suicidal ideation.
4,CBT,Cognitive Behavioral Therapy (CBT),first-line treatment,mild to moderate Major Depressive Disorder,MDD,"Based on significant clinical evidence, CBT is recommended as the initial treatment method for mild to moderate MDD."
5,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,due to their irreversible inhibition of monoamine oxidase and numerous side effects,reduced usage,"Due to their irreversible inhibition of monoamine oxidase, MOAIs have numerous side effects such as hepatotoxicity and hypertensive crisis, that lead to lethal intracranial hemorrhage."
6,Psychoeducation,Psycho-education,Benefits,"improved clinical course, treatment adherence, and psychosocial function in patients with depression",Clinical improvement,"Psycho-education has been highlighted for its role in improving the clinical course, treatment adherence, and psychosocial function in patients with depression."
7,MBCT,Mindfulness-Based Cognitive Therapy (MBCT),Treats,preventing depressive relapse,Relapse prevention,"Studies have shown that MBCT treatment during remission reduces relapse, making it a potential alternative to reduce or even stop antidepressant treatment without increasing the risk of depressive recurrence, especially for patients at high risk of relapse."
8,RTMS,Repetitive Transcranial Magnetic Stimulation (RTMS),More effective,when combined with antidepressants than placebo conditions with mild side effects and good acceptability,Combination efficacy,"Treatment combining RTMS and antidepressants was significantly more effective than placebo conditions, with mild side effects and good acceptability."
9,IPT,Interpersonal Therapy (IPT),first-line treatment,mild to moderate major depressive episode in adults,Adult MDD,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episodes in adults; it is also a well-established intervention for adolescent depression."
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,Major Depression,Major Depression,most guidelines currently recommend SSRIs as the first-line treatment for patients with major depression
1,SNRIs,Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs),second-line treatment,patients who do not respond to SSRIs,SSRI non-responders,clinical guidelines commonly recommend prescribing SNRI to patients who do not respond to SSRIs
2,ECT,Electroconvulsive therapy (ECT),Highly effective,Major unipolar depression,Major unipolar depression,"ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported"
3,rTMS,Repetitive Transcranial Magnetic Stimulation (rTMS),Widely used,depression research,Depression research,"this method, which is a type of biological stimulation that affects brain metabolism and neuronal electrical activity, has been widely used in research on depression"
4,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,over time due to side effects,Due to side effects,"due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects, such as hepatotoxicity and hypertensive crisis, that have made them less commonly used over time"
5,CBT,Cognitive Behavioral Therapy (CBT),Overview,targets depressed patients' irrational beliefs and distorted cognitions that perpetuate depressive symptoms by challenging and reversing them,Cognitive corrections,CBT targets depressed patients' irrational beliefs and distorted cognitions that perpetuate depressive symptoms by challenging and reversing them
6,IPT,Interpersonal Therapy (IPT),first-line treatment,mild to moderate major depressive episodes in adults and well-established intervention for adolescents with depression,Mild to moderate depression,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episodes in adults; it is also a well-established intervention for adolescents with depression"
0,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,major depression,Major Depression,most guideline currently recommend SSRIs as the first-line treatment for patient with major depression.
1,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),less commonly used,due to irreversible inhibition causing numerous side effects,Side effects,"due to their irreversible inhibition of monoamine oxidase, MOAIs have numerous side effects... MAOIs have become less commonly used over time."
2,ECT,Electroconvulsive Therapy (ECT),highly effective,severe and psychotic depression,Severe and Psychotic Depression,"ECT be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support."
3,rTMS,Repetitive Transcranial Magnetic Stimulation (rTMS),treats,depression with improvement in symptoms,Improvement in symptoms,recent literature show a significant difference between rTMS and fictitious stimulation regarding its improvement in depressive symptom.
4,Ketamine,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, psychosis, dissociation",Several side effects,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation"
5,VNS,Vagus Nerve Stimulation (VNS),treats,resistant unilateral or bipolar depression,Resistant Depression,vns be a therapeutic method that have been used for the last sixteen years to treat resistant unilateral or bipolar depression
6,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),side effects,"sexual and digestive issues, irritability, anxiety, insomnia, and headache",Various side effects,"they have elicited different tolerance rates and side effects - mostly sexual and digestive... as irritability, anxiety, insomnia, and headache"
7,Exercise,Physical Exercise,definition,recommended non-pharmacological treatment to alleviate symptoms and prevent relapse of depression,Depression Treatment,recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapse
0,Mirtazapine,Mirtazapine,More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"""Mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."""
1,Escitalopram,Escitalopram,More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"""Mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."""
2,Venlafaxine,Venlafaxine,More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"""Mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."""
3,Sertraline,Sertraline,More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"""Mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."""
4,Escitalopram,Escitalopram,first-line treatment,major depression,major depression,"""clinically important differences exist between commonly prescribed antidepressants for both efficacy and acceptability in favour of escitalopram and sertraline. Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
5,Sertraline,Sertraline,first-line treatment,major depression,major depression,"""clinically important differences exist between commonly prescribed antidepressants for both efficacy and acceptability in favour of escitalopram and sertraline. Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
